"POS","Stress","Word","Definition","Subtype","unredup word?","unredup definition","Type of redup","Dim. shifted C?","epenthesis/deletion?","Notes"
"N",1,"k̓ilák̓ila","asparagus","plant",,,,,,
"A",1,"kiyáwkiyaw","softly, not loud",,,,,,,
"N",1,"kiyáwkiyaw","lacewing","insect",,,,,,
"A",2,"kɨkanakɨ́kana","wobbly, staggering",,,,,,,
"A",1,"k̓ɨlɨlík̓ɨlɨli","bowed",,"k̓ɨlɨlí","bend, curved",,,,"keeps barred I"
"A",2,"k̓ɨmsak̓ɨ́msa","fast (tempo)",,,,,,,"keeps barred I"
"A",1,"kkɨ́skkɨs","very small, distributive",,"kkís","small",,,,"keeps barred I"
"N",2,"k̓lak̓lá","canada goose","bird",,,,,,
"N",1,"klawáwklawaw","whirligig beetle","insect",,,,,,
"N",1,"k̓píitk̓piit","sow bug",,"k̓píit","ball",,,,
"N",1,"Kpɨ́sk̓pɨs","Cold Springs",,"k̓pɨ́s","cold",,,,"keeps barred I"
"A",1,"ktúktu","quickly",,"kɨ́tu","fast",,,"barred I loss","Stress on different vowel"
"A",1,"k̓uk̓úk̓uk̓u","close together",,,,,,,"double redup?"
"N",2,"kulakúla","red thornberry","plant",,,,,,
"N",1,"kúmkum","salmon head","body part",,,,,,
"N",1,"k̓úpk̓up","salmon backbone","body part",,,,,,
"N",2,"k̓usik̓úsi","dog","animal","k̓úsi","horse",,,,
"N",1,"kútkut","work",,"kú","to do",,,,
"N",2,"k̓uxsk̓úsx","ankle",,,,,,,
"N",1,"kʷalálkʷalal","bell",,,,,,,
"N",1,"kʷálkʷal","turkey","bird",,,,,,
"N",2,"kʷalkʷála","mountain ash","plant",,,,,,"has an a on the end"
"N",1,"k̓ʷášk̓ʷaš","blue heron","bird",,,,,,
"N",1,"k̓ʷáyk̓ʷay","long billed curlew","bird",,,,,,
"N",1,"kʷíkʷi","porcupine quill","body part",,,,,,
"N",2,"K̓ʷiyak̓ʷíya","Cleveland, WA",,"k̓ʷíya","valerian",,,,
"N",2,"kʷiyawitkʷíyawit","robin song when he hears fish",,,,,,,
"A",1,"k̓ʷɨ́lk̓ʷɨ́l","in little pieces",,"k̓ʷɨ́ln","be soft, pounded fine",,,,"keeps barred I"
"N",1,"k̓ʷyámk̓ʷyam","blue racer snake","animal",,,,,,
"N",1,"łánłan","flying squirrel","animal",,,,,,
"A",1,"laqáylaqayi","crossed (X)",,,,,,,
"N",1,"latítlatit","Indian celery","plant","latít","flower",,,,
"N",1,"látlat","red breasted nuthatch","bird",,,,,,
"N",2,"lawláw","fur, body hair","body part",,,,,,
"N",2,"łayłáy","hoof rattles",,"łáy","onomatopoetic sound of resonating, crashing",,,,
"N",2,"łayłáy","boil, impetigo","body part",,,,,,
"N",1,"líitliit","a little shack, a bunch of little shacks",,"níit","house","dim, dist","Y",,
"N",1,"liláwlilaw","bay horse with white belly","animal",,,,,,
"N",1,"łiłípłiłip","ribbon",,,,,,,
"N",2,"lɨklɨ́k","salmon slime","body part",,,,,,"keeps barred I"
"A",2,"lɨkplɨ́kp","fast, zigzagging",,,,,,,"keeps barred I"
"N",1,"lɨlɨ́klɨlɨk","columbine","plant",,,,,,"keeps barred I"
"A",2,"lɨplɨ́p","fluttering",,,,,,,"keeps barred I"
"N",2,"łɨpłɨ́p","pine needles","plant",,,,,,"keeps barred I"
"V",2,"lɨplɨ́pn","to flutter",,,,,,,"keeps barred I"
"N",2,"lɨst̓alɨ́st̓a","bedstraw","plant",,,,,,"keeps barred I"
"A",2,"lɨxslɨ́xs","one by one, single file",,"náx̣š","one",,"Y",,"keeps barred I"
"N",1,"luc̓áluc̓a wíwnu","red bilberry","plant","luc̓á","red",,,,"compound"
"V",1,"lúk̓luk̓a","to wish for",,,,,,,"a on the end"
"N",2,"lust̓alúst̓a","shimmering",,,,,,,
"A",2,"luxlúx","shiny",,"lúxn","to shine",,,,
"V",2,"luxlúxn","to thunder, lightening",,"lúxn","to shine",,,,
"A",2,"luˀlúˀ","shiny",,"lúˀ","sparkle",,,,
"V",1,"ƛúpƛupn","to jump up and down",,"ƛúpn","to jump once","iterative",,,
"A",2,"maanmáan","any old way",,"máan","where","intensifier",,,
"N",2,"maqšmáqš","woody fungus",,,,,,,"NP borrowing yellow"
"A",1,"mɨlámla","ugly, dirty things",,"mɨlá","bad, ugly","intensifier",,"ɨ","no ɨ"
"A",2,"mɨnimɨ́ni","one here and one there",,"mɨ́ni","from where, whence",,,,"keeps barred I"
"N",2,"muklaymúklay","housefly","insect","muxláy","fly",,,,
"N",1,"Múlmul","Ritter hot springs","placename","múl","root in bubble up, emit steam","dist",,,
"N",1,"muxláymuxlay","dutchmans britches, looks like a lot of flies","plant","muxláy",,"dist",,,
"A",2,"muxmúx","old, white (of hair)",,"mux","puff sound, of smoke. maybe unrelated",,,,
"V",1,"nána","take along, carry",,,,,,,"maybe just accidental repetition"
"N",1,"níitniit","a bunch of houses",,"níit","house","dist",,,
"N",2,"niní","quaking aspen","plant",,,,,,"Also a placename"
"N",2,"nuktnúkt","Indian paint fungus","plant",,,,,,
"A",1,"paláypalay","forgetful",,"paláy","crazy, intoxicated",,,,
"N",2,"palpálp","flower buds","plant","pálp","to bud out",,,"loss of geminate p",
"V",1,"pálpalp","peek around",,"pálp","to bud out",,,"loss of geminate p","maybe unrelated"
,1,"pápa-","reciprocal",,,,,,,"maybe just accidental repetition"
"N",1,"patíšpatiš","limbs, twig","plant","patíš","limb, tree branch","dist or dim",,,
"N",1,"píitpiit","baby chick","animal",,,"onomatopoetic",,,"píit, a dime, seems unrelated"
"N",1,"pípi","stem of mules ears","plant",,,,,,
"N",1,"p̓íp̓i","intestines","body part",,,,,,
"N",1,"píšpiš","cat","animal",,,"onomatopoetic",,,
